id,year,sex,age,marital_status,degree,occ_prestige,num_children,op_working_mother,op_preschool,op_family,op_men_over_work,op_childcare,work_status,hours_worked,ever_worked
72,2021,Male,1950-1959,Divorced,Associate/Junior College,45,1,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Too Little,Retired,More than 89,YES
74,2021,Female,1970-1979,Separated,Associate/Junior College,28,0,Disagree,Disagree,Agree,Agree,Too Little,Working part time,20-29,Inapplicable
75,2021,Female,Don't Know,Never Married,Bachelors,54,0,NA,NA,NA,NA,Too Little,Retired,More than 89,YES
76,2021,Female,1970-1979,Never Married,Less than High School,NA,0,Disagree,Agree,Disagree,Agree,About Right,Other,More than 89,NO
77,2021,Male,1970-1979,Divorced,Bachelors,23,0,Disagree,Agree,Agree,Agree,About Right,Working full time,30-39,Inapplicable
78,2021,Female,1960-1969,Separated,High School,25,2,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Too Little,Working part time,20-29,Inapplicable
79,2021,Male,1960-1969,Married,High School,45,3,Strongly Agree,Agree,Disagree,Agree,Too Little,Working full time,40-49,Inapplicable
80,2021,Male,1950-1959,Married,High School,53,3,NA,NA,NA,NA,About Right,Working full time,60-69,Inapplicable
81,2021,Female,1950-1959,Married,High School,31,1,Strongly Agree,Disagree,Agree,Agree,Too Little,Retired,More than 89,YES
82,2021,Male,1980-1989,Never Married,High School,50,0,Strongly Agree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Too Little,Working full time,40-49,Inapplicable
83,2021,Female,1940-1949,Married,High School,48,1,Strongly Agree,Disagree,Disagree,Neither Agree Nor Disagree,Too Little,Retired,More than 89,YES
84,2021,Female,1950-1959,Married,Graduate,61,3,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Too Little,Retired,More than 89,YES
85,2021,Male,1970-1979,Divorced,Bachelors,66,2,NA,NA,NA,NA,Too Little,Working full time,30-39,Inapplicable
86,2021,Female,1940-1949,Never Married,Bachelors,51,0,NA,NA,NA,NA,Too Little,Retired,More than 89,YES
88,2021,Male,1970-1979,Never Married,Bachelors,46,0,Agree,Disagree,Disagree,Agree,About Right,Working full time,40-49,Inapplicable
89,2021,Female,1950-1959,Divorced,Less than High School,34,2,NA,NA,NA,NA,Too Little,Working full time,40-49,Inapplicable
90,2021,Female,1980-1989,Never Married,Bachelors,31,0,NA,NA,NA,NA,Too Little,"Unemployed, laid off, looking for work",More than 89,Inapplicable
91,2021,Male,1990-1999,Never Married,High School,NA,0,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Too Little,"Unemployed, laid off, looking for work",More than 89,Inapplicable
92,2021,Male,1950-1959,Never Married,Bachelors,63,0,Strongly Agree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Too Little,Keeping house,More than 89,YES
93,2021,Female,1950-1959,Married,Bachelors,61,3,NA,NA,NA,NA,Too Little,"With a job, but not at work because of temporary illness, vacation, strike",More than 89,Inapplicable
94,2021,Male,1970-1979,Married,High School,39,2,Agree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Too Little,Working full time,60-69,Inapplicable
95,2021,Female,1960-1969,Married,Bachelors,53,3,Strongly Agree,Strongly Disagree,Disagree,Disagree,Too Little,Keeping house,More than 89,YES
96,2021,Female,1980-1989,Married,High School,31,1,Agree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Too Little,Working part time,20-29,Inapplicable
97,2021,Male,1990-1999,Never Married,High School,20,0,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Too Little,"Unemployed, laid off, looking for work",More than 89,Inapplicable
98,2021,Female,1950-1959,Widowed,High School,55,0,Strongly Agree,Disagree,Disagree,Disagree,Too Little,Keeping house,More than 89,YES
99,2021,Female,1960-1969,Separated,Associate/Junior College,32,7,Strongly Agree,Disagree,Disagree,Neither Agree Nor Disagree,Too Little,Working full time,40-49,Inapplicable
100,2021,Male,1980-1989,Married,Graduate,70,2,NA,NA,NA,NA,Too Little,Working full time,40-49,Inapplicable
101,2021,Male,1950-1959,Divorced,Associate/Junior College,36,0,Disagree,Agree,Disagree,Agree,Too Little,Retired,More than 89,YES
102,2021,Male,1940-1949,Married,Graduate,72,2,Strongly Agree,Agree,Disagree,Neither Agree Nor Disagree,About Right,Retired,More than 89,YES
103,2021,Female,Don't Know,Married,Graduate,61,2,Strongly Agree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Too Little,Working full time,40-49,Inapplicable
104,2021,Male,1970-1979,Married,Bachelors,47,3,Agree,Disagree,Disagree,Agree,Too Little,Working full time,30-39,Inapplicable
105,2021,Female,1950-1959,Divorced,Bachelors,39,4,NA,NA,NA,NA,Too Little,Working full time,50-59,Inapplicable
106,2021,Male,1950-1959,Married,High School,38,6,NA,NA,NA,NA,About Right,Retired,More than 89,YES
107,2021,Female,Don't Know,Never Married,Graduate,59,1,Strongly Agree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Too Little,Working full time,40-49,Inapplicable
108,2021,Female,1960-1969,Married,Associate/Junior College,38,3,Agree,Disagree,Disagree,Neither Agree Nor Disagree,About Right,Working full time,60-69,Inapplicable
109,2021,Male,1960-1969,Married,Less than High School,25,NA,Agree,Disagree,Disagree,Agree,Too Little,Working full time,50-59,Inapplicable
111,2021,Male,1980-1989,Married,Bachelors,63,4,Strongly Disagree,Agree,Agree,Agree,Too Much,Working full time,40-49,Inapplicable
113,2021,Male,1960-1969,Divorced,High School,63,0,NA,NA,NA,NA,About Right,Working full time,40-49,Inapplicable
114,2021,Female,1970-1979,Widowed,Associate/Junior College,60,3,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,About Right,Working full time,40-49,Inapplicable
115,2021,Female,1980-1989,Married,Graduate,74,0,NA,NA,NA,NA,Too Much,Working full time,40-49,Inapplicable
116,2021,Female,1990-1999,Never Married,High School,NA,0,Agree,Disagree,Disagree,Disagree,Too Little,In school,More than 89,NO
117,2021,Male,1960-1969,Married,Graduate,39,2,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,About Right,Working full time,40-49,Inapplicable
118,2021,Male,1940-1949,Married,Graduate,63,3,Agree,Agree,Strongly Disagree,Agree,Too Little,Working part time,10-19,Inapplicable
119,2021,Male,1980-1989,Married,Bachelors,49,4,NA,NA,NA,NA,Too Little,Working full time,40-49,Inapplicable
120,2021,Female,1950-1959,Never Married,Bachelors,48,1,Agree,Disagree,Disagree,Disagree,Too Little,Working full time,40-49,Inapplicable
121,2021,Male,1950-1959,Married,Graduate,58,2,Strongly Agree,Disagree,Disagree,Disagree,NA,Other,More than 89,YES
122,2021,Male,1990-1999,Never Married,Graduate,42,0,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Too Little,In school,More than 89,YES
123,2021,Male,1980-1989,Never Married,Graduate,64,0,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Too Little,Working full time,40-49,Inapplicable
124,2021,Female,1980-1989,Married,Bachelors,59,0,Strongly Agree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Too Little,Working full time,40-49,Inapplicable
125,2021,Female,1980-1989,Never Married,Graduate,56,0,NA,NA,NA,NA,About Right,Working full time,40-49,Inapplicable
126,2021,Female,1980-1989,Married,Bachelors,NA,1,Strongly Agree,Agree,Disagree,Strongly Agree,Too Little,Keeping house,More than 89,NO
127,2021,Female,1960-1969,Married,High School,17,3,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Too Little,Working full time,50-59,Inapplicable
128,2021,NA,Don't Know,Married,High School,NA,1,Strongly Agree,Disagree,Disagree,Neither Agree Nor Disagree,About Right,Working full time,40-49,Inapplicable
130,2021,Female,1950-1959,Widowed,Bachelors,66,4,NA,NA,NA,NA,Too Much,Retired,More than 89,YES
131,2021,Female,1930-1939,Widowed,Bachelors,58,1,Agree,Agree,Strongly Disagree,Neither Agree Nor Disagree,Too Little,Retired,More than 89,YES
132,2021,Female,1950-1959,Separated,High School,37,1,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Too Little,Working part time,80-89,Inapplicable
135,2021,Male,1940-1949,Married,Bachelors,39,1,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Too Little,Retired,More than 89,YES
136,2021,Female,1980-1989,Married,Bachelors,64,4,Strongly Agree,Disagree,Disagree,Neither Agree Nor Disagree,About Right,Keeping house,More than 89,YES
137,2021,Female,1960-1969,Divorced,High School,47,2,Agree,Disagree,Disagree,Disagree,Too Little,Working full time,40-49,Inapplicable
138,2021,Female,1960-1969,Married,High School,48,3,Agree,Disagree,Disagree,Agree,About Right,Working full time,30-39,Inapplicable
139,2021,Male,1990-1999,Never Married,Bachelors,39,0,Agree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Too Little,Working full time,50-59,Inapplicable
140,2021,Female,1990-1999,Never Married,Graduate,69,0,NA,NA,NA,NA,Too Little,Working full time,40-49,Inapplicable
142,2021,Female,1990-1999,Never Married,Bachelors,47,0,Strongly Agree,Disagree,Strongly Disagree,Agree,Too Little,Working full time,40-49,Inapplicable
143,2021,Male,1980-1989,Married,Graduate,51,2,Disagree,Agree,Strongly Disagree,Neither Agree Nor Disagree,Too Little,Working full time,40-49,Inapplicable
144,2021,Female,1980-1989,Married,Graduate,51,3,Strongly Agree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Too Little,Working full time,40-49,Inapplicable
145,2021,Female,1960-1969,Married,Graduate,51,1,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,About Right,Retired,More than 89,YES
146,2021,Female,1950-1959,Married,Graduate,51,2,Strongly Agree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Too Little,Working part time,10-19,Inapplicable
147,2021,Female,1990-1999,Never Married,Bachelors,65,0,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Too Little,Working full time,40-49,Inapplicable
148,2021,Male,1960-1969,Never Married,High School,35,0,NA,NA,NA,NA,Too Much,"Unemployed, laid off, looking for work",More than 89,Inapplicable
149,2021,Female,1930-1939,Married,Bachelors,61,1,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Too Little,Retired,More than 89,YES
150,2021,Female,1950-1959,Never Married,High School,48,0,NA,NA,NA,NA,Too Little,Retired,More than 89,YES
151,2021,Female,1950-1959,Never Married,Less than High School,45,0,Agree,Agree,Disagree,Agree,About Right,Retired,More than 89,YES
152,2021,Female,1980-1989,Married,Bachelors,38,1,NA,NA,NA,NA,Too Little,Working full time,40-49,Inapplicable
153,2021,Male,1950-1959,Married,Associate/Junior College,49,2,Agree,Disagree,Disagree,Neither Agree Nor Disagree,About Right,Working part time,20-29,Inapplicable
154,2021,Female,1960-1969,Divorced,Graduate,39,2,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Too Little,Working full time,40-49,Inapplicable
155,2021,Female,1960-1969,Married,Graduate,61,0,Strongly Disagree,Agree,Agree,Neither Agree Nor Disagree,Too Little,Working full time,50-59,Inapplicable
156,2021,Male,1930-1939,Widowed,High School,47,5,NA,NA,NA,NA,About Right,Retired,More than 89,YES
158,2021,Female,1940-1949,Married,Graduate,55,0,Strongly Agree,Disagree,Strongly Disagree,Disagree,About Right,Retired,More than 89,YES
159,2021,Female,1950-1959,Divorced,High School,30,1,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Too Little,"Unemployed, laid off, looking for work",More than 89,Inapplicable
160,2021,Female,1970-1979,Married,Bachelors,61,2,NA,NA,NA,NA,Too Little,Working full time,40-49,Inapplicable
161,2021,Male,1970-1979,Married,Graduate,61,0,NA,NA,NA,NA,About Right,Working full time,40-49,Inapplicable
162,2021,Female,Don't Know,Married,High School,44,2,Agree,Disagree,Strongly Disagree,Disagree,About Right,Retired,More than 89,YES
163,2021,Male,1970-1979,Married,High School,26,2,NA,NA,NA,NA,Too Much,Keeping house,More than 89,YES
164,2021,Male,1940-1949,Never Married,Associate/Junior College,38,2,NA,NA,NA,NA,Too Little,Retired,More than 89,YES
165,2021,Female,1960-1969,Divorced,Bachelors,37,1,Strongly Agree,Disagree,Agree,Agree,Too Little,"Unemployed, laid off, looking for work",More than 89,Inapplicable
166,2021,Male,1960-1969,Never Married,Graduate,63,0,Strongly Agree,Disagree,Disagree,Agree,Too Little,"Unemployed, laid off, looking for work",More than 89,Inapplicable
167,2021,Female,Don't Know,Married,Bachelors,73,1,NA,NA,NA,NA,About Right,Working full time,50-59,Inapplicable
168,2021,Male,1950-1959,Married,High School,49,1,Agree,Agree,Disagree,Agree,Too Much,Working full time,40-49,Inapplicable
169,2021,Female,1950-1959,Divorced,Graduate,64,1,Agree,Disagree,Disagree,Agree,Too Little,"Unemployed, laid off, looking for work",More than 89,Inapplicable
170,2021,Female,1980-1989,Married,Graduate,54,1,Disagree,Agree,Agree,Agree,NA,Working full time,30-39,Inapplicable
171,2021,Male,1970-1979,Married,Associate/Junior College,53,0,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Too Little,Working full time,60-69,Inapplicable
172,2021,Female,1950-1959,Divorced,Bachelors,51,4,Agree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Too Little,"Unemployed, laid off, looking for work",More than 89,Inapplicable
173,2021,Female,1940-1949,Married,Graduate,59,2,Agree,Agree,Strongly Disagree,Agree,Too Little,Retired,More than 89,YES
174,2021,Female,1980-1989,Married,Bachelors,47,1,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Too Little,Working full time,40-49,Inapplicable
175,2021,Male,1940-1949,Divorced,High School,40,3,Disagree,Agree,Agree,Agree,Too Little,Working full time,More than 89,Inapplicable
176,2021,Female,1940-1949,Married,Bachelors,54,1,Strongly Agree,Agree,Strongly Disagree,Agree,Too Little,Keeping house,More than 89,YES
177,2021,Male,1940-1949,Married,Bachelors,60,3,Agree,Disagree,Disagree,Strongly Agree,Too Little,Retired,More than 89,YES
179,2021,Male,1950-1959,Married,High School,39,2,Agree,Disagree,Disagree,Agree,Too Little,Working full time,40-49,Inapplicable
181,2021,Female,1980-1989,Divorced,Bachelors,35,1,Strongly Agree,Strongly Disagree,Disagree,Disagree,Too Little,Working full time,70-79,Inapplicable
182,2021,Female,Don't Know,Never Married,Graduate,64,0,Strongly Agree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,About Right,Retired,More than 89,YES
183,2021,Male,1960-1969,Divorced,Bachelors,60,2,Disagree,Agree,Agree,Strongly Agree,About Right,Working full time,40-49,Inapplicable
184,2021,Female,1980-1989,Married,High School,32,2,Strongly Agree,Disagree,Strongly Disagree,Agree,About Right,Skipped on Web,More than 89,Skipped on Web
185,2021,Female,1980-1989,Never Married,High School,31,0,NA,NA,NA,NA,Too Little,"Unemployed, laid off, looking for work",More than 89,Inapplicable
187,2021,Female,1970-1979,Divorced,High School,45,4,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Too Little,Working full time,40-49,Inapplicable
188,2021,Female,Don't Know,Married,Less than High School,48,4,Strongly Agree,Disagree,Agree,Strongly Agree,Too Little,Working full time,40-49,Inapplicable
189,2021,Female,1970-1979,Married,High School,38,5,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Too Little,"Unemployed, laid off, looking for work",More than 89,Inapplicable
190,2021,Female,1950-1959,Widowed,Less than High School,39,2,NA,NA,NA,NA,About Right,Keeping house,More than 89,YES
192,2021,Male,1970-1979,Married,High School,60,3,Agree,Disagree,Disagree,Neither Agree Nor Disagree,About Right,Working full time,60-69,Inapplicable
194,2021,Female,Don't Know,Married,High School,45,2,Strongly Agree,Disagree,Disagree,Agree,About Right,Working full time,40-49,Inapplicable
195,2021,Female,1980-1989,Married,Graduate,42,2,NA,NA,NA,NA,Too Little,Working full time,40-49,Inapplicable
196,2021,Female,1980-1989,Married,Bachelors,46,2,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Too Little,Keeping house,More than 89,YES
198,2021,Male,1980-1989,Never Married,High School,NA,0,NA,NA,NA,NA,Too Little,"Unemployed, laid off, looking for work",More than 89,Inapplicable
199,2021,Male,1960-1969,Married,High School,51,2,Strongly Agree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Too Little,Working full time,40-49,Inapplicable
201,2021,Female,1980-1989,Married,Bachelors,60,1,NA,NA,NA,NA,About Right,Keeping house,More than 89,YES
202,2021,Male,1950-1959,Divorced,High School,49,4,Disagree,Agree,Disagree,Neither Agree Nor Disagree,Too Little,Retired,More than 89,YES
203,2021,Male,1950-1959,Married,Graduate,70,0,NA,NA,NA,NA,About Right,Working full time,30-39,Inapplicable
205,2021,Male,1990-1999,Never Married,High School,NA,1,NA,NA,NA,NA,Too Little,Other,More than 89,NO
206,2021,Female,1980-1989,Never Married,High School,48,3,NA,NA,NA,NA,About Right,Working full time,40-49,Inapplicable
207,2021,Female,1970-1979,Never Married,High School,32,1,Agree,Disagree,Disagree,Neither Agree Nor Disagree,About Right,"Unemployed, laid off, looking for work",More than 89,Inapplicable
208,2021,NA,Don't Know,Widowed,Graduate,55,2,NA,NA,NA,NA,Too Much,Keeping house,More than 89,YES
209,2021,Male,Don't Know,Married,Bachelors,38,2,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Too Little,Retired,More than 89,YES
210,2021,Female,1950-1959,Divorced,High School,46,1,NA,NA,NA,NA,Too Little,"Unemployed, laid off, looking for work",More than 89,Inapplicable
211,2021,Male,1980-1989,Married,High School,50,4,Agree,Disagree,Agree,Agree,Too Little,Working full time,40-49,Inapplicable
213,2021,Male,1960-1969,Never Married,High School,53,0,NA,NA,NA,NA,About Right,Working full time,40-49,Inapplicable
214,2021,Female,1960-1969,Never Married,High School,53,0,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Too Little,Working part time,30-39,Inapplicable
215,2021,Female,Don't Know,Divorced,Bachelors,61,2,Disagree,Strongly Agree,Strongly Agree,Agree,Too Little,Keeping house,More than 89,YES
216,2021,Female,1940-1949,Married,Less than High School,33,4,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,About Right,Retired,More than 89,YES
217,2021,Male,Don't Know,Never Married,High School,31,0,Agree,Disagree,Strongly Disagree,Agree,Too Little,Working full time,40-49,Inapplicable
218,2021,Female,1930-1939,Married,High School,61,5,NA,NA,NA,NA,Too Little,Retired,More than 89,YES
219,2021,Male,Don't Know,Married,NA,48,NA,Agree,Disagree,Disagree,Agree,About Right,Working full time,10-19,Inapplicable
220,2021,Female,1960-1969,Never Married,High School,44,0,NA,NA,NA,NA,Too Much,Working full time,40-49,Inapplicable
221,2021,Female,1960-1969,Divorced,High School,49,1,Strongly Agree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,About Right,"Unemployed, laid off, looking for work",More than 89,Inapplicable
